price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,yr_built,renoveted_or_not,Total_area,extra_area,neighbourhood_total_area_15
329000,3,2,2,0,0,4,4,2450,1970-01-01,0,8950,2450,9065
233000,3,2,1,0,0,5,2,1710,1970-01-01,0,6407,1710,5735
937000,3,1,2,0,0,3,4,1750,1970-01-01,0,5141,2450,5333
667000,3,1,1,0,0,5,4,1400,1970-01-01,0,2981,1400,5721
438000,3,1,1,0,0,3,3,790,1970-01-01,0,7900,1520,7755
719000,4,2,2,0,0,3,4,2570,1970-01-01,0,9743,2570,8656
580500,3,2,2,0,0,3,4,2320,1970-01-01,0,6300,2320,6560
280000,2,1,3,0,0,3,3,1190,1970-01-01,0,2455,1190,3146
687500,4,1,1,0,0,4,3,1510,1970-01-01,0,7330,2330,6460
535000,3,1,1,0,0,4,4,1090,1970-01-01,0,4090,1090,6650
322500,4,2,1,0,0,3,3,1280,1970-01-01,0,8719,2060,10740
696000,3,2,1,0,0,3,4,1510,1970-01-01,1,5360,2300,4854
550000,4,1,1,0,0,1,1,930,1970-01-01,0,36508,1660,13627
640000,4,2,2,0,0,4,4,2360,1970-01-01,0,8360,2360,6430
240000,4,1,1,0,0,2,3,890,1970-01-01,0,9295,1220,9090
605000,4,2,2,0,0,3,4,2620,1970-01-01,0,10173,2620,14504
625000,4,2,2,0,0,3,5,2570,1970-01-01,0,8090,2570,8139
775000,4,2,1,0,0,3,4,2600,1970-01-01,0,28406,4220,33027
861990,5,2,2,0,0,3,5,3595,1970-01-01,0,9234,3595,9264
685000,3,1,2,0,0,3,3,1570,1970-01-01,0,3850,1570,4220
309000,3,1,1,0,0,4,2,920,1970-01-01,0,10936,1280,10148
488000,3,2,2,0,0,3,4,3160,1970-01-01,0,16763,3160,12282
210490,3,1,1,0,0,3,2,990,1970-01-01,0,9518,990,10068
785000,4,2,2,0,0,4,5,2290,1970-01-01,0,15706,2290,16365
450000,3,1,1,0,0,4,3,1250,1970-01-01,0,7213,1250,6070
1129275,3,2,1,1,2,5,5,2165,1970-01-01,0,67758,2753,75193
228000,3,1,1,0,0,3,3,1190,1970-01-01,0,10389,1190,10554
345000,5,2,1,0,0,4,4,1640,1970-01-01,0,12284,3150,11123
600000,3,1,1,0,0,4,3,1000,1970-01-01,0,5490,1410,5490
585000,2,1,1,0,0,3,3,990,1970-01-01,0,10530,1980,8218
920000,5,2,1,0,0,3,4,2130,1970-01-01,0,8730,2730,8730
885000,4,2,2,0,0,3,5,2830,1970-01-01,0,7830,2830,6950
292500,4,2,2,0,0,3,3,2250,1970-01-01,0,6745,2250,6750
301000,3,2,2,0,0,3,4,2420,1970-01-01,0,7170,2420,7440
951000,5,3,2,0,4,4,4,3250,1970-01-01,0,17592,3250,14004
430000,4,3,2,0,0,3,4,1850,1970-01-01,0,11826,1850,10812
650000,3,2,1,0,3,4,4,1590,1970-01-01,0,23385,2150,21470
289000,3,1,1,0,0,3,3,1260,1970-01-01,0,9660,1260,10040
505000,3,1,2,0,0,5,4,2519,1970-01-01,0,11209,2519,12000
549000,3,1,3,0,0,3,4,1540,1970-01-01,0,2584,1540,4670
425000,3,2,1,0,0,3,3,1110,1970-01-01,0,7660,1660,5520
317625,3,2,1,0,0,5,3,1770,1970-01-01,0,6579,2770,5440
975000,4,2,2,0,0,3,6,2720,1970-01-01,0,13769,2720,13799
287000,4,2,2,0,0,3,3,2240,1970-01-01,0,6888,2240,6778
204000,3,1,1,0,0,4,3,1000,1970-01-01,0,13070,1000,13645
1129275,5,2,1,0,0,3,4,1600,1970-01-01,0,23358,3200,23548
1040000,5,3,1,0,0,4,7,3070,1970-01-01,0,54864,4770,42447
325000,3,2,1,0,0,4,3,1260,1970-01-01,0,6872,1260,6385
571000,4,2,1,0,0,5,3,2250,1970-01-01,0,10557,2750,9317
360000,4,2,2,0,0,3,4,2380,1970-01-01,0,7380,2380,7420
349000,3,1,1,0,0,5,3,1090,1970-01-01,0,52319,1790,52469
832500,4,4,2,0,0,4,6,2390,1970-01-01,0,38532,3430,38260
380000,4,1,1,0,0,3,3,880,1970-01-01,0,9060,1760,9180
480000,3,1,1,0,0,3,3,1040,1970-01-01,0,6100,1040,5950
410000,3,1,1,0,0,4,3,910,1970-01-01,0,6470,1410,6823
720000,4,2,2,0,0,3,6,3450,1970-01-01,0,43133,3450,43100
390000,3,2,2,0,0,3,4,2350,1970-01-01,0,7450,2350,7713
360000,4,2,2,0,0,3,3,1900,1970-01-01,0,7789,1900,8275
355000,2,1,1,0,0,3,3,1010,1970-01-01,0,8740,2020,8440
356000,3,1,1,0,0,3,4,1680,1970-01-01,0,10392,1680,10647
315000,3,1,1,0,0,3,2,960,1970-01-01,0,7594,960,8773
940000,3,1,2,0,0,3,5,1900,1970-01-01,0,5740,2140,6820
305000,5,2,1,0,0,5,3,2660,1970-01-01,0,11060,2660,9755
461000,3,3,2,0,0,3,5,1980,1970-01-01,0,9048,2770,9249
215000,2,2,2,0,0,4,3,1610,1970-01-01,0,3650,1610,3975
335000,2,1,2,0,0,3,3,765,1970-01-01,0,2096,1030,2136
243500,4,2,2,0,0,3,3,1980,1970-01-01,0,9383,1980,9490
1099880,5,2,2,0,0,4,6,3520,1970-01-01,0,9873,3520,8770
153000,3,1,1,0,0,3,3,1200,1970-01-01,0,11700,1200,11850
430000,3,1,1,0,0,3,4,1290,1970-01-01,0,6580,1580,6070
905000,4,2,1,0,0,3,3,2390,1970-01-01,1,13550,3300,7995
247500,3,1,1,0,0,3,3,1960,1970-01-01,0,17641,1960,17366
199000,4,1,1,0,0,4,3,1160,1970-01-01,0,7560,1160,7560
314000,3,1,1,0,0,5,3,1210,1970-01-01,0,43610,1810,136686
437500,3,2,2,0,2,3,5,2320,1970-01-01,0,39167,2320,37615
850830,3,2,1,0,0,5,5,1270,1970-01-01,0,15311,2070,6700
555000,3,2,1,0,0,4,3,1440,1970-01-01,0,5458,1980,5088
699950,3,2,2,0,0,4,4,2190,1970-01-01,0,109783,2190,50347
1088000,3,2,2,0,0,3,4,2920,1970-01-01,1,11033,2920,10483
290000,3,1,1,0,0,3,3,1210,1970-01-01,0,35129,1210,16550
375000,3,2,1,0,0,4,4,1460,1970-01-01,0,12345,2340,10412
460000,3,1,1,0,0,4,3,1170,1970-01-01,0,5675,1670,5245
188500,2,1,1,0,0,4,4,1240,1970-01-01,0,3733,1240,6236
680000,4,2,2,0,0,4,6,3140,1970-01-01,0,31177,3140,37991
470000,5,1,2,0,0,4,3,2030,1970-01-01,0,14372,2030,11933
597750,4,2,2,0,0,3,4,2310,1970-01-01,0,11934,2310,11576
570000,3,1,1,0,0,5,2,700,1970-01-01,0,4588,1260,4916
272500,3,1,1,0,0,4,3,1160,1970-01-01,0,14140,1540,13196
329950,3,1,1,0,2,3,3,1080,1970-01-01,0,8049,2080,7590
480000,4,2,2,0,3,3,5,2520,1970-01-01,0,19401,3230,11157
740500,3,3,2,0,0,3,4,2780,1970-01-01,1,10730,4380,8180
518500,3,3,3,0,0,3,4,1590,1970-01-01,0,2692,1590,4786
205425,2,1,1,0,0,4,2,880,1970-01-01,0,7660,880,7970
171800,4,2,1,0,0,3,2,1570,1970-01-01,0,11170,1570,10880
535000,4,1,1,0,0,4,3,1610,1970-01-01,0,4592,1610,5650
660000,3,2,1,0,2,3,4,1560,1970-01-01,0,8874,2400,13196
391500,3,2,1,0,0,3,3,1450,1970-01-01,0,10582,1450,10684
395000,2,1,1,0,0,3,2,770,1970-01-01,0,6770,770,7710
445000,4,1,1,0,0,5,3,1720,1970-01-01,0,6500,2100,6250
770000,3,2,2,0,0,3,5,2910,1970-01-01,0,13114,2910,16692
1129275,4,2,1,0,0,3,4,1980,1970-01-01,1,20539,2750,14335
445000,3,2,1,0,2,3,4,1620,1970-01-01,0,10301,2100,11372
260000,4,2,1,0,0,3,4,1360,1970-01-01,0,10971,2160,10490
822500,5,3,2,0,0,5,3,1720,1970-01-01,0,7280,2320,6660
430000,4,2,2,0,0,3,3,2070,1970-01-01,0,6380,2070,5718
212000,3,1,1,0,0,4,3,1060,1970-01-01,0,8935,1060,9100
660500,4,2,1,0,0,3,4,1440,1970-01-01,0,11613,2010,11853
784000,3,3,1,0,0,3,5,2460,1970-01-01,0,115028,3950,90980
453246,3,2,2,0,0,3,4,1390,1970-01-01,0,4297,2010,3352
675000,4,3,3,0,0,3,5,2140,1970-01-01,0,4418,2140,3825
199000,3,1,1,0,0,4,3,1320,1970-01-01,0,18710,1320,20815
220000,4,1,1,0,0,3,3,1010,1970-01-01,0,9860,2020,9890
452000,4,2,1,0,0,4,4,1340,1970-01-01,0,12592,2590,11986
382500,2,1,1,0,0,3,2,1190,1970-01-01,0,5630,1190,6775
519950,3,2,3,0,0,3,4,1170,1970-01-01,0,2419,1170,2660
665000,2,1,1,0,0,3,3,1110,1970-01-01,0,4310,1110,4770
527700,5,2,1,0,0,4,4,1550,1970-01-01,0,12195,2820,12195
205000,3,1,1,0,0,4,3,1010,1970-01-01,0,10189,1610,10189
420000,3,1,1,0,0,4,3,940,1970-01-01,0,9157,1060,9500
500000,4,2,1,0,0,4,4,1380,1970-01-01,0,10547,2030,11054
921500,4,2,2,0,0,4,5,3670,1970-01-01,0,319044,3670,90831
890000,4,1,2,0,0,3,4,2370,1970-01-01,0,6550,2550,6200
430000,2,2,2,0,0,3,3,2420,1970-01-01,0,63404,2420,195782
258000,5,2,1,0,0,4,4,1130,1970-01-01,0,14760,2260,19360
511000,3,1,1,0,0,3,3,980,1970-01-01,0,4885,1430,6049
532170,3,2,2,0,0,3,4,1360,1970-01-01,0,4450,1360,4590
560000,3,1,1,0,0,3,3,1110,1970-01-01,0,6110,1110,6420
282950,3,1,1,0,0,4,3,1250,1970-01-01,0,9450,1250,10313
1129275,4,3,2,0,3,3,7,3540,1970-01-01,0,25030,5180,12910
350000,1,1,1,0,0,3,3,700,1970-01-01,0,5800,700,6110
215000,3,1,1,0,0,4,3,1180,1970-01-01,0,8849,1180,8859
650000,5,3,2,0,0,3,5,2500,1970-01-01,0,29205,3960,16315
320000,4,2,1,0,0,3,4,1620,1970-01-01,0,10140,2640,9855
247000,3,2,1,0,0,3,3,1270,1970-01-01,1,8468,1270,8358
320000,4,1,1,0,0,4,4,1760,1970-01-01,0,12940,1760,12910
255000,5,2,1,0,0,3,3,1030,1970-01-01,0,10692,2060,12690
438000,3,1,1,0,0,3,3,1780,1970-01-01,0,11440,1780,10860
900000,3,2,2,0,0,3,6,3400,1970-01-01,0,20003,3400,16001
441000,3,2,1,0,0,3,3,1160,1970-01-01,0,9190,1910,9862
420000,3,2,1,0,0,4,3,1010,1970-01-01,0,40352,2020,38700
370000,3,1,1,0,0,3,3,1180,1970-01-01,0,8580,1580,9140
269950,2,1,1,0,0,5,1,700,1970-01-01,0,8590,1340,11580
807100,4,2,2,0,0,3,5,2680,1970-01-01,0,7179,2680,7420
653000,3,2,1,0,0,4,4,1610,1970-01-01,0,12430,2680,11230
371500,3,2,1,0,0,5,3,1370,1970-01-01,0,9706,1370,9058
284000,3,1,1,0,0,3,3,1560,1970-01-01,0,22560,1560,8990
272000,3,1,1,0,0,4,3,1670,1970-01-01,0,9300,2160,9280
313000,3,1,1,0,0,3,3,1340,1970-01-01,0,9252,1340,9420
917500,4,2,2,0,0,3,6,2570,1970-01-01,0,38883,3880,38970
673000,4,2,2,0,0,4,4,2590,1970-01-01,0,10780,2590,10595
425000,3,2,2,0,0,3,4,820,1970-01-01,0,2220,1120,3385
399950,5,2,1,0,0,3,3,1320,1970-01-01,0,7370,1970,3430
385000,3,1,1,0,0,3,2,1220,1970-01-01,0,6020,1220,6000
269950,3,1,1,0,2,4,3,1320,1970-01-01,0,9510,1950,10891
330000,2,1,1,0,0,3,3,1060,1970-01-01,0,9570,1350,9820
260000,3,2,2,0,0,3,3,1670,1970-01-01,0,7467,1670,7853
470000,4,3,1,0,0,4,3,1680,1970-01-01,0,7505,2380,6785
589000,4,3,2,0,0,5,3,2440,1970-01-01,0,12040,2440,11890
163500,2,1,2,0,0,3,3,1050,1970-01-01,0,4469,1050,4467
835000,4,2,2,0,0,3,5,2140,1970-01-01,0,16542,3130,12244
1095000,5,3,1,0,2,4,6,2090,1970-01-01,0,16940,4090,12810
269000,4,1,1,0,0,4,4,1100,1970-01-01,0,11490,1490,11100
560000,3,2,2,0,0,3,4,1900,1970-01-01,0,10644,1900,10774
615000,4,1,1,0,0,4,2,1330,1970-01-01,0,3730,1330,5730
585188,3,2,1,0,0,3,4,1430,1970-01-01,0,12256,2230,11570
305000,3,1,1,0,0,3,3,1220,1970-01-01,0,11130,1650,9940
166950,3,1,1,0,0,3,2,1190,1970-01-01,0,10010,1190,9210
799000,3,2,1,0,0,4,4,2140,1970-01-01,0,12037,2140,12763
400000,3,2,1,0,0,4,3,1420,1970-01-01,0,9688,2180,9718
230000,3,1,1,0,0,3,3,1060,1970-01-01,0,11288,1060,11798
256883,3,2,2,0,0,3,4,1690,1970-01-01,0,6715,1690,7551
423000,4,2,1,0,0,5,3,1130,1970-01-01,0,8450,1970,7980
465000,3,2,2,0,0,3,4,2150,1970-01-01,0,6234,2150,4135
440000,3,2,2,0,0,3,3,1910,1970-01-01,0,68121,1910,69598
385000,3,1,1,0,0,4,3,1350,1970-01-01,0,156423,1350,52525
210000,3,1,1,0,0,4,2,860,1970-01-01,0,12585,860,10814
297000,3,2,2,0,0,3,4,1940,1970-01-01,0,16892,1940,12480
470000,3,1,1,0,0,3,3,1010,1970-01-01,0,6010,1010,6680
226500,3,1,1,0,0,4,3,900,1970-01-01,0,8670,1300,8930
274250,3,1,1,0,0,4,2,910,1970-01-01,0,9360,910,9440
840000,4,1,1,0,0,4,5,1630,1970-01-01,0,13490,2480,13514
677900,3,2,2,0,0,3,4,2440,1970-01-01,0,7027,2440,7337
425000,3,1,1,0,0,3,3,1010,1970-01-01,0,6874,1010,6290
180250,2,1,1,0,0,3,2,900,1970-01-01,0,10500,900,15530
464000,6,3,2,0,0,3,3,1600,1970-01-01,1,5704,2300,2872
320000,4,2,2,0,0,3,4,1550,1970-01-01,0,9129,1550,8027
625504,3,2,2,0,0,3,4,1060,1970-01-01,0,2836,1270,2487
592500,4,2,1,0,0,3,5,2240,1970-01-01,0,14272,2240,14888
465000,3,2,2,0,0,3,5,2714,1970-01-01,0,20650,2714,20976
477000,4,2,2,0,0,3,4,1720,1970-01-01,0,7990,1720,10830
280000,2,1,1,0,0,3,2,850,1970-01-01,0,17250,850,15559
1129275,5,3,1,0,3,3,5,1870,1970-01-01,1,36774,3300,24789
445838,3,2,2,0,0,3,4,2250,1970-01-01,0,7942,2250,6710
1072000,2,2,1,0,3,3,4,1950,1970-01-01,0,18764,3900,7764
467000,2,1,1,0,0,4,4,1320,1970-01-01,0,12120,1320,14160
686000,4,2,2,0,0,3,6,2760,1970-01-01,0,9200,2760,11197
279950,3,2,1,0,0,3,3,1350,1970-01-01,0,11500,1750,12025
527000,4,2,2,0,0,3,4,2330,1970-01-01,0,21766,2330,11965
325000,3,2,1,0,0,4,4,1780,1970-01-01,0,18240,2220,11663
328000,3,2,2,0,0,3,3,2020,1970-01-01,0,10399,2020,10051
390000,3,2,1,0,0,5,3,1250,1970-01-01,0,8750,1250,8672
479950,2,2,1,0,0,3,4,1510,1970-01-01,0,8026,1510,7649
264950,4,2,1,0,0,4,3,1120,1970-01-01,0,11473,1720,11263
235000,3,1,1,0,0,4,3,980,1970-01-01,0,16676,1430,15028
516500,3,2,2,0,0,3,3,1480,1970-01-01,0,6209,1480,6979
655000,2,1,2,1,4,3,3,1230,1970-01-01,1,17248,1450,15223
500000,4,2,1,0,0,5,3,2280,1970-01-01,0,17627,2280,17627
315000,6,2,1,0,0,3,4,1780,1970-01-01,0,10290,2940,10356
213000,2,1,1,0,0,3,2,1000,1970-01-01,0,11200,1000,14852
475000,3,1,1,0,0,5,3,1620,1970-01-01,0,7760,2480,6890
1025000,5,4,2,0,0,3,6,3760,1970-01-01,0,31800,3760,38526
416000,3,2,1,0,0,5,3,1640,1970-01-01,0,96520,2220,82170
410000,4,1,1,0,0,3,3,1670,1970-01-01,1,6710,1970,6250
800000,3,3,2,0,0,3,6,3530,1970-01-01,0,225114,3830,151459
472000,6,2,1,0,2,4,5,2350,1970-01-01,0,18444,4410,16588
225000,3,1,1,0,0,4,3,1430,1970-01-01,0,9935,1430,9830
210000,2,1,1,0,0,3,2,830,1970-01-01,0,6830,830,5790
455000,2,1,1,0,0,2,3,1430,1970-01-01,0,6430,1430,5200
225000,3,1,1,0,0,4,2,1300,1970-01-01,0,9616,1300,9576
480000,2,1,1,0,2,4,3,790,1970-01-01,0,4090,1030,4450
363000,3,2,2,0,0,3,5,2740,1970-01-01,0,14612,2740,12947
1129275,4,2,1,1,4,3,5,1830,1970-01-01,0,12004,3650,21961
181000,2,1,1,0,0,3,2,720,1970-01-01,0,5840,720,3716
250000,4,2,1,0,0,4,3,2010,1970-01-01,0,9322,2010,9660
481000,3,1,1,0,0,4,2,770,1970-01-01,0,4560,1560,4390
260000,3,2,1,0,0,4,3,1240,1970-01-01,0,9019,1810,8959
455000,4,2,2,0,0,3,5,3360,1970-01-01,0,11045,3360,9627
415000,3,2,2,0,0,3,4,1510,1970-01-01,0,37734,1510,37954
349500,3,1,1,0,0,3,3,800,1970-01-01,0,4938,1400,7951
245000,3,2,2,0,0,3,3,1730,1970-01-01,0,9172,1730,8088
592500,2,2,1,0,2,5,3,1420,1970-01-01,0,10611,1420,8236
385000,4,1,1,0,0,4,3,1180,1970-01-01,0,9980,2360,9530
315000,3,1,1,0,0,4,3,1200,1970-01-01,0,13035,1580,12200
255000,3,1,1,0,0,3,3,1230,1970-01-01,0,11400,1230,11478
693000,4,2,2,0,0,3,4,2460,1970-01-01,0,6885,2460,8649
780000,3,1,1,0,0,3,4,1460,1970-01-01,0,6060,1660,6060
237000,3,1,1,0,0,4,3,1270,1970-01-01,0,9740,1270,10070
525000,3,2,2,0,0,3,6,1320,1970-01-01,0,42610,2100,35830
425000,2,1,1,0,0,3,1,770,1970-01-01,0,5810,770,3910
369900,1,1,1,1,4,5,1,760,1970-01-01,0,10839,760,15497
290000,4,2,2,0,0,4,3,1700,1970-01-01,0,8980,1700,9425
285000,3,1,1,0,0,3,3,1120,1970-01-01,0,11821,1120,7480
415000,2,1,1,0,0,3,3,1070,1970-01-01,0,5570,1070,5785
272500,3,2,1,0,0,3,4,1420,1970-01-01,0,11970,2070,10320
1129275,4,3,1,0,2,3,7,4750,1970-01-01,1,25150,5050,23950
1129275,4,4,2,0,0,4,7,5310,1970-01-01,0,62656,5310,51623
436000,2,1,1,0,0,4,3,1040,1970-01-01,0,8578,1040,8970
210000,3,1,1,0,0,4,3,1700,1970-01-01,0,13090,1700,9514
236000,3,1,1,0,0,3,3,1300,1970-01-01,0,7198,1300,8939
331000,3,1,1,0,0,3,3,580,1970-01-01,1,2386,1080,3665
365000,3,2,2,0,0,3,4,2653,1970-01-01,0,7163,2653,7580
450000,3,2,1,0,0,5,4,2290,1970-01-01,0,18548,2290,12190
770000,4,2,2,0,0,3,5,2850,1970-01-01,0,30120,3820,13996
455000,4,2,1,0,0,3,4,2210,1970-01-01,0,51585,2210,52055
405000,3,1,1,0,0,3,2,1240,1970-01-01,0,8390,2390,8020
304900,4,1,1,0,0,4,3,1610,1970-01-01,0,13925,2600,12808
170000,2,1,1,0,0,3,2,860,1970-01-01,0,6125,860,10425
1129275,5,3,2,0,1,5,5,2630,1970-01-01,1,12310,3830,10606
780000,4,2,2,0,0,3,5,3500,1970-01-01,0,10548,3500,11784
330000,3,3,1,0,0,4,4,1740,1970-01-01,0,16379,2420,15870
370000,4,2,2,0,0,3,5,2720,1970-01-01,0,11386,2720,10510
467000,5,2,1,0,0,3,3,1850,1970-01-01,0,16000,2500,12050
405000,3,1,1,0,0,3,3,1140,1970-01-01,0,8390,1670,8990
675000,5,2,1,0,0,3,4,1450,1970-01-01,0,13200,2900,12610
500000,2,1,1,0,0,4,3,1140,1970-01-01,0,15740,1640,15047
389999,4,2,2,0,0,4,3,1890,1970-01-01,0,17660,1890,17666
630000,4,1,1,0,2,4,4,1780,1970-01-01,0,11975,2950,11720
360000,4,2,2,0,0,3,5,2160,1970-01-01,0,11688,2160,12217
580000,4,3,2,0,0,3,4,2270,1970-01-01,0,14340,3280,13324
550000,3,2,2,0,3,5,4,1270,1970-01-01,0,6136,1970,6556
879000,4,2,2,0,0,3,6,3360,1970-01-01,0,25471,3360,14524
265000,3,2,1,0,0,3,3,1320,1970-01-01,0,10279,1320,9056
446500,3,2,2,0,0,3,4,2650,1970-01-01,0,9936,2650,9620
404000,3,1,1,0,0,3,3,1330,1970-01-01,0,10910,2030,7732
267500,3,1,1,0,2,3,3,1090,1970-01-01,0,13504,1590,10682
1129275,4,4,1,1,4,3,6,2600,1970-01-01,0,23191,4550,24058
335000,3,2,2,0,0,3,4,2440,1970-01-01,0,10072,2440,10413
576000,3,2,1,0,0,4,3,970,1970-01-01,0,10940,1940,9500
208633,3,2,2,0,0,3,4,2040,1970-01-01,0,5850,2040,6960
315000,3,2,1,0,0,4,3,1120,1970-01-01,0,10950,2200,11599
725000,3,1,1,0,0,4,4,960,1970-01-01,0,5220,1920,5740
550000,4,2,1,0,0,4,4,1400,1970-01-01,0,9550,1800,10075
610750,4,2,2,0,0,3,4,2180,1970-01-01,0,9477,2180,12031
550700,2,1,1,0,0,4,2,1010,1970-01-01,0,6010,1010,6460
665000,4,2,2,0,0,5,4,2220,1970-01-01,0,13894,3320,11050
834000,4,2,1,0,2,5,4,1980,1970-01-01,0,6370,2370,8190
201000,5,1,1,0,0,3,2,1660,1970-01-01,0,80068,1660,80068
1129275,5,2,2,0,4,5,6,3370,1970-01-01,0,12700,3650,8280
1129275,4,3,1,0,3,3,7,2690,1970-01-01,0,16393,4290,15104
305000,4,2,1,0,0,3,4,1350,1970-01-01,0,9650,1950,9500
487000,3,2,1,0,0,5,4,1720,1970-01-01,0,16642,2590,9732
390000,3,2,1,0,0,4,4,1930,1970-01-01,0,66834,1930,59850
548000,2,1,1,0,0,4,3,1170,1970-01-01,0,5334,1470,5434
268750,4,1,1,0,0,3,2,800,1970-01-01,0,9575,800,10085
819900,5,2,2,0,0,3,5,3150,1970-01-01,0,10269,3150,9944
520000,3,2,2,0,0,3,4,2030,1970-01-01,0,18230,2030,20618
230000,3,2,1,0,0,3,3,1450,1970-01-01,0,12654,1450,11038
240000,3,1,1,0,0,3,3,1510,1970-01-01,0,11758,1510,11263
232000,2,1,1,0,0,3,2,960,1970-01-01,1,13332,1240,9280
274975,3,2,2,0,0,3,5,3030,1970-01-01,0,48034,3030,38861
740000,4,2,1,0,0,4,5,2050,1970-01-01,0,6450,2050,7820
186375,3,1,1,0,0,2,3,1000,1970-01-01,0,8636,1000,8750
790000,3,2,1,0,0,4,5,1590,1970-01-01,0,12659,2370,12504
880000,4,3,2,0,0,3,5,1890,1970-01-01,1,9550,2800,8490
279000,6,1,2,0,0,4,3,2240,1970-01-01,0,13420,2240,9545
295000,3,2,1,0,2,3,4,1810,1970-01-01,0,12340,1810,12360
640000,2,1,1,0,0,3,3,1070,1970-01-01,0,6070,1070,6710
940000,4,2,2,0,0,5,5,2490,1970-01-01,0,12015,2490,12295
260000,4,2,2,0,0,3,3,1960,1970-01-01,0,7198,1960,7694
559900,3,2,1,0,0,3,5,1860,1970-01-01,0,8499,2930,13625
791500,4,2,1,0,0,5,3,1510,1970-01-01,0,5010,1510,5570
265000,3,1,1,0,0,3,3,1420,1970-01-01,0,9670,1420,9740
245000,3,1,1,0,0,3,3,1740,1970-01-01,0,13287,1740,79288
485000,4,1,2,0,0,4,3,2560,1970-01-01,0,46555,2560,17324
684000,4,3,2,0,0,3,5,2420,1970-01-01,0,11454,3040,11536
425000,3,1,1,0,0,3,4,1300,1970-01-01,0,9340,2500,10271
309600,4,1,1,0,0,4,2,1275,1970-01-01,0,21275,1275,21660
552250,4,2,2,0,0,3,4,2580,1970-01-01,0,8403,2580,8203
165000,4,1,1,0,0,3,2,1000,1970-01-01,0,8134,1000,8158
320000,2,1,1,0,0,4,2,1070,1970-01-01,0,33703,1070,33516
206600,3,2,1,0,0,4,3,1390,1970-01-01,0,14854,1390,13800
387000,4,1,1,0,0,3,3,1250,1970-01-01,0,10190,2500,10686
299000,1,1,1,0,0,3,1,560,1970-01-01,0,12680,560,20507
855000,4,2,2,0,0,3,5,2270,1970-01-01,0,12730,2270,12790
315000,3,1,1,0,0,4,3,1300,1970-01-01,0,16300,1900,16340
437500,2,1,1,0,2,5,3,790,1970-01-01,0,4110,990,5050
252000,4,1,1,0,0,4,3,1050,1970-01-01,0,21350,1550,24294
375000,4,1,1,0,0,5,3,1100,1970-01-01,0,9675,2200,7366
300000,4,2,2,0,0,3,3,1910,1970-01-01,0,6772,1910,7101
420000,4,1,1,0,0,4,3,1750,1970-01-01,0,11350,1750,12280
900000,3,1,1,0,0,3,3,1330,1970-01-01,1,79302,1330,19029
679900,3,2,2,0,2,3,5,1980,1970-01-01,0,8190,2440,7270
463000,3,2,2,0,0,3,3,1640,1970-01-01,0,31610,1640,29979
380000,5,2,2,0,0,4,5,2760,1970-01-01,0,14100,2760,13810
329500,4,2,2,0,0,3,3,1820,1970-01-01,0,9732,1820,9988
604950,3,2,1,0,0,3,4,1340,1970-01-01,0,7718,2110,11403
795000,5,2,1,0,2,4,4,1640,1970-01-01,0,12610,3040,11720
465000,3,2,2,0,0,3,3,1840,1970-01-01,0,42278,1840,45429
673000,4,2,2,0,0,3,5,2990,1970-01-01,0,13390,2990,19589
810000,4,2,2,0,0,3,6,3520,1970-01-01,0,18940,3520,24855
785000,4,2,1,0,0,4,4,1910,1970-01-01,0,71855,2440,27131
